Name,Player Id
2018,Kayne Ramsay,368253
2018,Sam Surridge,296870
2018,Angel Gomes,338497
2018,Adama Diakhaby,322750
2018,Ibrahima Cissé,109479
2018,Danny Williams,83335
2018,Nathaniel Chalobah,92729
2018,Tahith Chong,365244
2018,Oumar Niasse,111141
2018,Jazz Richards,78089
2018,Rhys Healey,119026
2018,Stefan Johansen,27579
2018,Harvey Elliott,363982
2018,Sebastian Prödl,27349
2018,Sam Gallagher,138027
2018,Jason Puncheon,9156
2018,Loïc Damour,294510
2018,Carlos Sánchez,26720
2018,James Garner,367781
2018,Luke Dreher,316536
2018,Maximilian Kilman,368310
2018,Pape Souaré,79970
2018,Rafael Camacho,355358
2018,Tyreke Johnson,367927
2018,Will Norris,139866
2018,Gary Madine,37050
2018,Antonio Barreca,143524
2018,Ben Hamer,29832
2018,Jermain Defoe,2837
2018,Ben Wilmot,362851
2018,Collin Quaner,90996
2018,Stefano Okaka,14255
2018,Matty Daly,370989
2018,Victor Moses,33064
2018,Bakary Sako,34974
2018,Aaron Rowe,371276
2018,Julian Speroni,7895
