No,Player,Team,Apps,Min,G,NPG,A,xG,NPxG,xA,xGChain,xGBuildup,xG90,NPxG90,xA90,xG90+xA90,NPxG90+xA90,xGChain90,xGBuildup90
681,Cesar Azpilicueta,Chelsea,27,2084,1,1,2,1.26,1.26,2.08,12.79,10.71,0.05,0.05,0.09,0.14,0.14,0.55,0.46
712,Jack Cork,Burnley,20,1689,1,1,0,0.73,0.73,0.19,3.68,3.42,0.04,0.04,0.01,0.05,0.05,0.2,0.18
753,Marc Albrighton,Leicester,17,1113,1,1,2,0.49,0.49,1.69,4.0,2.97,0.04,0.04,0.14,0.18,0.18,0.32,0.24
766,Jamaal Lascelles,Newcastle United,26,2052,1,1,0,1.34,1.34,0.23,1.45,1.45,0.06,0.06,0.01,0.07,0.07,0.06,0.06
790,Nathan Redmond,Southampton,27,1829,1,1,5,1.63,1.63,4.07,7.38,3.21,0.08,0.08,0.2,0.28,0.28,0.36,0.16
807,Jonny Evans,Leicester,18,1355,1,1,1,1.28,1.28,0.92,4.21,4.11,0.09,0.09,0.06,0.15,0.15,0.28,0.27
813,Salomon Rondon,Everton,20,764,1,1,1,2.64,2.64,0.61,3.72,0.64,0.31,0.31,0.07,0.38,0.38,0.44,0.07
839,Shane Long,Southampton,13,303,1,1,0,1.17,1.17,0.13,1.12,0.11,0.35,0.35,0.04,0.39,0.39,0.33,0.03
847,Cedric Soares,Arsenal,21,1483,1,1,1,0.49,0.49,1.52,5.35,4.62,0.03,0.03,0.09,0.12,0.12,0.32,0.28
884,Matt Targett,Aston Villa,33,2880,1,1,1,1.02,1.02,3.86,7.15,3.89,0.03,0.03,0.12,0.15,0.15,0.22,0.12
885,Kyle Walker-Peters,Southampton,32,2631,1,1,2,1.33,1.33,3.33,9.22,6.45,0.05,0.05,0.11,0.16,0.16,0.32,0.22
900,Adama Traore,Wolverhampton Wanderers,20,1047,1,1,0,2.83,2.83,1.34,4.76,0.91,0.24,0.24,0.11,0.36,0.36,0.41,0.08
935,Kurt Zouma,West Ham,24,2083,1,1,0,0.81,0.81,0.08,4.45,4.32,0.04,0.04,0.0,0.04,0.04,0.19,0.19
1014,Tyler Roberts,Leeds,23,938,1,1,1,2.43,2.43,1.47,4.5,0.8,0.23,0.23,0.14,0.37,0.37,0.43,0.08
1024,Tyrone Mings,Aston Villa,36,3186,1,1,3,1.38,1.38,1.43,8.23,7.53,0.04,0.04,0.04,0.08,0.08,0.23,0.21
1032,Kieran Dowell,Norwich,19,912,1,1,1,1.25,1.25,1.24,2.75,0.79,0.12,0.12,0.12,0.25,0.25,0.27,0.08
1042,Tom Davies,Everton,6,228,1,1,0,1.01,1.01,0.0,1.23,0.42,0.4,0.4,0.0,0.4,0.4,0.48,0.17
1123,Juraj Kucka,Watford,26,1928,1,1,1,2.51,2.51,1.06,6.47,4.19,0.12,0.12,0.05,0.17,0.17,0.3,0.2
1652,Matthew Lowton,Burnley,25,1788,1,1,2,0.78,0.78,2.14,4.23,3.17,0.04,0.04,0.11,0.15,0.15,0.21,0.16
1665,James Tarkowski,Burnley,35,3108,1,1,2,2.99,2.99,0.49,5.57,5.26,0.09,0.09,0.01,0.1,0.1,0.16,0.15
1687,Harry Maguire,Manchester United,30,2518,1,1,0,2.24,2.24,0.14,7.96,7.7,0.08,0.08,0.01,0.09,0.09,0.28,0.28
1719,Javier Manquillo,Newcastle United,19,1273,1,1,2,0.38,0.38,0.47,1.65,0.81,0.03,0.03,0.03,0.06,0.06,0.12,0.06
1740,Paul Pogba,Manchester United,20,1371,1,1,9,2.19,2.19,3.84,7.56,3.93,0.14,0.14,0.25,0.4,0.4,0.5,0.26
1746,Jeff Hendrick,Newcastle United,3,65,1,1,0,0.02,0.02,0.02,0.16,0.12,0.02,0.02,0.03,0.06,0.06,0.22,0.17
1749,Rob Holding,Arsenal,15,824,1,1,0,0.56,0.56,0.0,2.17,2.17,0.06,0.06,0.0,0.06,0.06,0.24,0.24
1760,Arthur Masuaku,West Ham,13,626,1,1,1,0.07,0.07,0.76,1.48,1.45,0.01,0.01,0.11,0.12,0.12,0.21,0.21
2245,Raphael Varane,Manchester United,22,1823,1,1,1,0.75,0.75,0.21,5.67,5.46,0.04,0.04,0.01,0.05,0.05,0.28,0.27
2379,Joao Cancelo,Manchester City,36,3233,1,1,7,4.54,4.54,6.01,26.89,21.15,0.13,0.13,0.17,0.29,0.29,0.75,0.59
3303,Ricardo Pereira,Leicester,14,1000,1,1,3,0.58,0.58,1.4,5.1,4.26,0.05,0.05,0.13,0.18,0.18,0.46,0.38
3729,Hassane Kamara,Watford,19,1627,1,1,0,0.16,0.16,0.66,3.06,2.69,0.01,0.01,0.04,0.05,0.05,0.17,0.15
4381,Mateusz Klich,Leeds,33,2117,1,1,2,2.7,2.7,1.91,8.97,5.38,0.11,0.11,0.08,0.2,0.2,0.38,0.23
4422,Ashley Barnes,Burnley,23,787,1,0,0,1.68,0.92,0.99,2.78,0.94,0.19,0.11,0.11,0.31,0.22,0.32,0.11
