Name,Team,Age,Position,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Drb,Blocks,Rating
Moussa Sissoko,Tottenham,34,Midfielder,29,2337,1.2413793103448276,0.5517241379310345,0.8275862068965517,0.0,0.7241379310344828,0.4827586206896552,0.13793103448275862,6.75103448275862
Charlie Taylor,Burnley,29,Defender,38,3240,1.4473684210526316,1.0526315789473684,0.39473684210526316,0.2894736842105263,2.1842105263157894,0.6842105263157895,0.9210526315789473,6.75
Joel Ward,Crystal Palace,33,Defender,7,551,1.7142857142857142,1.4285714285714286,1.1428571428571428,0.14285714285714285,4.428571428571429,1.0,0.0,6.7442857142857155
Jóhann Gudmundsson,Burnley,32,Midfielder,29,1749,0.9310344827586207,1.1379310344827587,0.3448275862068966,0.0,1.0689655172413792,0.6206896551724138,0.13793103448275862,6.743448275862069
Pablo Zabaleta,West Ham,38,Defender,26,2092,1.8076923076923077,1.8461538461538463,0.6538461538461539,0.3076923076923077,3.3076923076923075,1.0384615384615385,0.5769230769230769,6.742692307692307
Naby Keïta,Liverpool,28,Midfielder,25,1394,1.48,0.48,1.0,0.0,0.52,1.12,0.16,6.7424
Rob Holding,Arsenal,27,Defender,10,807,1.1,1.2,0.6,0.3,3.7,0.6,0.7,6.74
Angelo Ogbonna,West Ham,35,Defender,24,1871,1.2916666666666667,1.4583333333333333,0.625,1.0,4.125,0.375,0.8333333333333334,6.73875
Eric Dier,Tottenham,29,Defender,20,1510,1.3,1.05,1.2,0.0,2.1,1.4,0.6,6.7385
Scott Dann,Crystal Palace,36,Defender,10,661,0.6,0.5,0.4,0.3,4.4,0.4,1.2,6.7379999999999995
Vicente Guaita,Crystal Palace,36,Goalkeeper,20,1755,0.0,0.0,0.05,0.0,0.95,0.0,0.0,6.736
Paul Dummett,Newcastle,31,Defender,26,1987,1.3076923076923077,1.4230769230769231,0.4230769230769231,0.4230769230769231,4.730769230769231,0.5,0.38461538461538464,6.735769230769231
Aaron Mooy,Huddersfield,32,Midfielder,29,2327,2.1379310344827585,0.4827586206896552,0.896551724137931,0.0,0.7241379310344828,1.0689655172413792,0.2413793103448276,6.733448275862068
Andreas Christensen,Chelsea,27,Defender,8,615,1.25,0.5,1.0,0.375,3.375,0.375,0.25,6.72625
Artur Boruc,Bournemouth,43,Goalkeeper,12,1080,0.08333333333333333,0.0,0.0,0.0,0.4166666666666667,0.16666666666666666,0.0,6.724999999999999
Neil Etheridge,Cardiff,33,Goalkeeper,38,3420,0.02631578947368421,0.18421052631578946,0.0,0.0,0.7894736842105263,0.02631578947368421,0.0,6.724999999999998
Will Hughes,Watford,28,Midfielder,32,2436,2.3125,0.78125,1.6875,0.0,0.6875,1.0625,0.1875,6.724687499999998
Lewis Dunk,Brighton,31,Defender,36,3153,1.1666666666666667,1.2777777777777777,0.6111111111111112,0.25,5.361111111111111,0.6111111111111112,1.0555555555555556,6.724166666666666
Lucas Torreira,Arsenal,27,Midfielder,34,2381,1.911764705882353,1.2058823529411764,1.1176470588235294,0.08823529411764706,0.9117647058823529,0.9411764705882353,0.20588235294117646,6.7214705882352925
Manuel Lanzini,West Ham,30,Midfielder,10,689,1.2,0.9,0.5,0.0,0.7,1.3,0.1,6.721000000000001
Mamadou Sakho,Crystal Palace,33,Defender,27,2417,0.9259259259259259,1.5185185185185186,0.18518518518518517,0.5555555555555556,4.888888888888889,0.25925925925925924,0.5925925925925926,6.720370370370369
Víctor Camarasa,Cardiff,29,Midfielder,32,2579,0.875,1.03125,0.71875,0.03125,0.78125,0.78125,0.0625,6.720312500000001
Maxime Le Marchand,Fulham,33,Defender,26,2252,2.1538461538461537,2.076923076923077,1.0769230769230769,0.5769230769230769,4.6923076923076925,0.9230769230769231,0.6153846153846154,6.717307692307691
Héctor Bellerín,Arsenal,28,Defender,19,1535,0.7894736842105263,1.0526315789473684,0.8421052631578947,0.15789473684210525,1.736842105263158,0.3684210526315789,0.2631578947368421,6.714210526315789
