,No.,Year,Name,Age,Team,Position
2419,934,2018,Ki Sung-Yueng,29,Newcastle,Midfielder
2420,1493,2018,Sergio Rico,24,Fulham,Goalkeeper
2421,1190,2018,Mohamed Diame,31,Newcastle,Midfielder
2422,87,2018,Alvaro Morata,25,Chelsea,Forward
2423,1659,2018,Wayne Hennessey,31,Crystal Palace,Goalkeeper
2424,256,2018,Cedric Soares,26,Southampton,Defender
2425,945,2018,Kiko Femenia,27,Watford,Defender
2426,618,2018,Harry Winks,22,Tottenham,Midfielder
2427,736,2018,Jean Michael Seri,27,Fulham,Midfielder
2428,1130,2018,Matteo Guendouzi,19,Arsenal,Midfielder
2429,974,2018,Lee Peltier,31,Cardiff,Defender
2430,864,2018,Josh Murphy,23,Cardiff,Midfielder
2431,905,2018,Kasper Schmeichel,31,Leicester,Goalkeeper
2432,21,2018,Adam Lallana,30,Liverpool,Midfielder
2433,915,2018,Kenedy,22,Newcastle,Midfielder
2434,1453,2018,Samir Nasri,31,West Ham,Midfielder
2435,1646,2018,Victor Wanyama,27,Tottenham,Midfielder
2436,673,2018,Jack Stephens,24,Southampton,Defender
2437,1331,2018,Phil Foden,18,Man City,Midfielder
2438,914,2018,Ken Sema,24,Watford,Midfielder
2439,814,2018,Jonas Lossl,29,Huddersfield,Goalkeeper
2440,383,2018,David de Gea,27,Man Utd,Goalkeeper
2441,63,2018,Alex Pritchard,25,Huddersfield,Midfielder
2442,1192,2018,Mohamed Elyounoussi,24,Southampton,Midfielder
2443,1576,2018,Theo Walcott,29,Everton,Forward
2444,399,2018,Demarai Gray,22,Leicester,Forward
2445,980,2018,Leon Balogun,30,Brighton,Defender
2446,1555,2018,Stuart Armstrong,26,Southampton,Midfielder
2447,1498,2018,Shane Long,31,Southampton,Forward
2448,388,2018,DeAndre Yedlin,25,Newcastle,Defender
2449,432,2018,Dominic Solanke,20,Bournemouth,Forward
2450,830,2018,Jordan Ayew,26,Crystal Palace,Forward
2451,834,2018,Jordan Pickford,24,Everton,Goalkeeper
2452,184,2018,Beram Kayal,30,Brighton,Midfielder
2453,542,2018,Fred,25,Man Utd,Midfielder
2454,884,2018,Juninho Bacuna,21,Huddersfield,Midfielder
2455,519,2018,Fernando Llorente,33,Tottenham,Forward
2456,220,2018,Bruno,37,Brighton,Defender
2457,1145,2018,Max Meyer,22,Crystal Palace,Midfielder
2458,1472,2018,Scott McTominay,21,Man Utd,Midfielder
2459,1020,2018,Luciano Vietto,24,Fulham,Forward
2460,1332,2018,Phil Jagielka,36,Everton,Defender
2461,281,2018,Chris Mepham,20,Bournemouth,Defender
2462,30,2018,Ademola Lookman,20,Everton,Forward
2463,461,2018,Emerson Hyndman,22,Bournemouth,Midfielder
2464,886,2018,Junior Hoilett,28,Cardiff,Midfielder
2465,1420,2018,Rui Patricio,30,Wolves,Goalkeeper
2466,783,2018,Joe Ralls,24,Cardiff,Midfielder
2467,1544,2018,Steven Davis,33,Southampton,Midfielder
2468,312,2018,Conor Coady,25,Wolves,Defender
2469,1072,2018,Marcus Bettinelli,26,Fulham,Goalkeeper
2470,266,2018,Charlie Daniels,31,Bournemouth,Defender
2471,1191,2018,Mohamed Elneny,26,Arsenal,Midfielder
2472,1320,2018,Pedro Obiang,26,West Ham,Midfielder
2473,285,2018,Christian Atsu,26,Newcastle,Midfielder
2474,1105,2018,Mason Greenwood,16,Man Utd,Forward
2475,258,2018,Cenk Tosun,27,Everton,Forward
2476,428,2018,Domingos Quina,18,Watford,Midfielder
2477,1274,2018,Olivier Giroud,31,Chelsea,Forward
2478,1230,2018,Nathaniel Clyne,27,Bournemouth,Defender
2479,74,2018,Alfie Mawson,24,Fulham,Defender
2480,1285,2018,Oumar Niasse,28,Cardiff,Forward
2481,597,2018,Greg Cunningham,27,Cardiff,Defender
2482,1343,2018,Rachid Ghezzal,26,Leicester,Midfielder
2483,812,2018,Jon Gorenc Stankovic,22,Huddersfield,Midfielder
2484,1433,2018,Ryan Sessegnon,18,Fulham,Midfielder
2485,902,2018,Karlan Grant,20,Huddersfield,Forward
2486,1116,2018,Mathew Ryan,26,Brighton,Goalkeeper
2487,671,2018,Jack Simpson,21,Bournemouth,Defender
2488,1418,2018,Ruben Vinagre,19,Wolves,Defender
2489,198,2018,Bobby De Cordova-Reid,25,Cardiff,Forward
2490,351,2018,Daniel Sturridge,28,Liverpool,Forward
2491,1171,2018,Michael Obafemi,18,Southampton,Forward
2492,855,2018,Joselu,28,Newcastle,Forward
2493,527,2018,Florent Hadergjonaj,24,Huddersfield,Defender
2494,887,2018,Junior Stanislas,28,Bournemouth,Midfielder
2495,1602,2018,Tom Davies,20,Everton,Midfielder
2496,612,2018,Harry Arter,28,Cardiff,Midfielder
2497,359,2018,Danny Welbeck,27,Arsenal,Forward
2498,384,2018,Davide Zappacosta,26,Chelsea,Defender
2499,4,2018,Aaron Lennon,31,Burnley,Midfielder
2500,1273,2018,Oliver Skipp,17,Tottenham,Midfielder
2501,591,2018,Grady Diangana,20,West Ham,Midfielder
2502,852,2018,Jose Izquierdo,26,Brighton,Forward
2503,1204,2018,Mousa Dembele,31,Tottenham,Midfielder
2504,479,2018,Eric Bailly,24,Man Utd,Defender
2505,891,2018,Kadeem Harris,25,Cardiff,Midfielder
2506,1633,2018,Tyrone Mings,25,Bournemouth,Defender
2507,1215,2018,Nampalys Mendy,26,Leicester,Midfielder
2508,122,2018,Angus Gunn,22,Southampton,Goalkeeper
2509,991,2018,Lewis Cook,21,Bournemouth,Midfielder
2510,541,2018,Fraser Forster,30,Southampton,Goalkeeper
2511,702,2018,James McCarthy,27,Everton,Midfielder
2512,625,2018,Helder Costa,24,Wolves,Forward
2513,415,2018,Diego Rico,25,Bournemouth,Defender
2514,98,2018,Andre Gray,27,Watford,Forward
2515,280,2018,Chris Lowe,29,Huddersfield,Defender
2516,1601,2018,Tom Cleverley,29,Watford,Midfielder
2517,658,2018,Ivan Cavaleiro,24,Wolves,Forward
2518,14,2018,Aboubakar Kamara,23,Fulham,Forward
2519,62,2018,Alex Oxlade Chamberlain,25,Liverpool,Midfielder
2520,969,2018,Leandro Bacuna,27,Cardiff,Midfielder
2521,76,2018,Alireza Jahanbakhsh,25,Brighton,Forward
2522,483,2018,Erik Durm,26,Huddersfield,Defender
2523,114,2018,Andy Carroll,29,West Ham,Forward
2524,1593,2018,Timothy Fosu-Mensah,20,Fulham,Defender
2525,842,2018,Jordon Ibe,22,Bournemouth,Midfielder
2526,111,2018,Andrew Surman,32,Bournemouth,Midfielder
2527,653,2018,Isaac Success,22,Watford,Forward
2528,791,2018,Joel Coleman,22,Huddersfield,Goalkeeper
2529,1017,2018,Lucas Perez,29,West Ham,Forward
2530,1349,2018,Rajiv van La Parra,27,Huddersfield,Midfielder
2531,232,2018,Caglar Soyuncu,22,Leicester,Defender
2532,248,2018,Carl Jenkinson,26,Arsenal,Defender
2533,917,2018,Kenneth Zohore,24,Cardiff,Forward
2534,553,2018,Gaetan Bong,30,Brighton,Defender
2535,726,2018,Jason Puncheon,32,Huddersfield,Midfielder
2536,1648,2018,Vincent Janssen,24,Tottenham,Forward
2537,1589,2018,Tim Ream,30,Fulham,Defender
2538,358,2018,Danny Ward,27,Cardiff,Forward
2539,1230,2018,Nathaniel Clyne,27,Liverpool,Defender
2540,623,2018,Havard Nordtveit,28,Fulham,Defender
2541,443,2018,Eddie Nketiah,19,Arsenal,Forward
2542,112,2018,Andrii Yarmolenko,28,West Ham,Forward
2543,260,2018,Cesc Fabregas,31,Chelsea,Midfielder
2544,1528,2018,Stephan Lichtsteiner,34,Arsenal,Defender
2545,889,2018,Jurgen Locadia,24,Brighton,Forward
2546,740,2018,Jeff Hendrick,26,Burnley,Midfielder
2547,264,2018,Charlie Austin,29,Southampton,Forward
2548,239,2018,Callum Slattery,19,Southampton,Midfielder
2549,105,2018,Andreas Pereira,22,Man Utd,Midfielder
2550,675,2018,Jacob Murphy,23,Newcastle,Midfielder
